libssh2_agent_connect	connect to an ssh-agent
libssh2_agent_disconnect	close a connection to an ssh-agent
libssh2_agent_free	free an ssh-agent handle
libssh2_agent_get_identity	get a public key off the collection of public keys managed by ssh-agent
libssh2_agent_init	init an ssh-agent handle
libssh2_agent_list_identities	request an ssh-agent to list of public keys.
libssh2_agent_userauth	authenticate a session with a public key, with the help of ssh-agent
libssh2_banner_set	set the SSH protocol banner for the local client
libssh2_base64_decode	decode a base64 encoded string
libssh2_channel_close	close a channel
libssh2_channel_direct_tcpip	convenience macro for libssh2_channel_direct_tcpip_ex(3) calls
libssh2_channel_direct_tcpip_ex	Tunnel a TCP connection through an SSH session
libssh2_channel_eof	check a channel's EOF status
libssh2_channel_exec	convenience macro for libssh2_channel_process_startup(3) calls
libssh2_channel_flush	convenience macro for libssh2_channel_flush_ex(3) calls
libssh2_channel_flush_ex	flush a channel
libssh2_channel_flush_stderr	convenience macro for libssh2_channel_flush_ex(3) calls
libssh2_channel_forward_accept	accept a queued connection
libssh2_channel_forward_cancel	cancel a forwarded TCP port
libssh2_channel_forward_listen	convenience macro for libssh2_channel_forward_listen_ex(3) calls
libssh2_channel_forward_listen_ex	listen to inbound connections
libssh2_channel_free	free all resources associated with a channel
libssh2_channel_get_exit_signal	get the remote exit signal
libssh2_channel_get_exit_status	get the remote exit code
libssh2_channel_handle_extended_data	set extended data handling mode
libssh2_channel_handle_extended_data2	set extended data handling mode
libssh2_channel_ignore_extended_data	convenience macro for libssh2_channel_handle_extended_data(3) calls
libssh2_channel_open_ex	establish a generic session channel
libssh2_channel_open_session	convenience macro for libssh2_channel_open_ex(3) calls
libssh2_channel_process_startup	request a shell on a channel
libssh2_channel_read	convenience macro for libssh2_channel_read_ex(3) calls
libssh2_channel_read_ex	read data from a channel stream
libssh2_channel_read_stderr	convenience macro for libssh2_channel_read_ex(3) calls
libssh2_channel_receive_window_adjust	adjust the channel window
libssh2_channel_receive_window_adjust2	adjust the channel window
libssh2_channel_request_pty	convenience macro for libssh2_channel_request_pty_ex(3) calls
libssh2_channel_request_pty_ex	short function description
libssh2_channel_request_pty_size	convenience macro for libssh2_channel_request_pty_size_ex(3) calls
libssh2_channel_request_pty_size_ex	TODO
libssh2_channel_send_eof	send EOF to remote server
libssh2_channel_set_blocking	set or clear blocking mode on channel
libssh2_channel_setenv	convenience macro for libssh2_channel_setenv_ex(3) calls
libssh2_channel_setenv_ex	set an environment variable on the channel
libssh2_channel_shell	convenience macro for libssh2_channel_process_startup(3) calls
libssh2_channel_subsystem	convenience macro for libssh2_channel_process_startup(3) calls
libssh2_channel_wait_closed	wait for the remote to close the channel
libssh2_channel_wait_eof	wait for the remote to reply to an EOF request
libssh2_channel_window_read	convenience macro for libssh2_channel_window_read_ex(3) calls
libssh2_channel_window_read_ex	Check the status of the read window
libssh2_channel_window_write	convenience macro for libssh2_channel_window_write_ex(3) calls
libssh2_channel_window_write_ex	Check the status of the write window
libssh2_channel_write	convenience macro for libssh2_channel_write_ex(3)
libssh2_channel_write_ex	write data to a channel stream blocking
libssh2_channel_write_stderr	convenience macro for libssh2_channel_write_ex(3)
libssh2_channel_x11_req	convenience macro for libssh2_channel_x11_req_ex(3) calls
libssh2_channel_x11_req_ex	request an X11 forwarding channel
libssh2_exit	global library deinitialization
libssh2_free	deallocate libssh2 memory
libssh2_hostkey_hash	return a hash of the remote host's key
libssh2_init	global library initialization
libssh2_keepalive_config	short function description
libssh2_keepalive_send	short function description
libssh2_knownhost_add	add a known host
libssh2_knownhost_addc	add a known host
libssh2_knownhost_check	check a host+key against the list of known hosts
libssh2_knownhost_checkp	check a host+key against the list of known hosts
libssh2_knownhost_del	delete a known host entry
libssh2_knownhost_free	free a collection of known hosts
libssh2_knownhost_get	get a known host off the collection of known hosts
libssh2_knownhost_init	init a collection of known hosts
