int 	ssh_userauth_agent (ssh_session session, const char *username)	Try to do public key authentication with ssh agent.
int 	ssh_userauth_gssapi (ssh_session session)	Try to authenticate through the "gssapi-with-mic" method.
int 	ssh_userauth_kbdint (ssh_session session, const char *user, const char *submethods)	Try to authenticate through the "keyboard-interactive" method.
const char * 	ssh_userauth_kbdint_getanswer (ssh_session session, unsigned int i)	Get the answer for a question from a message block.
const char * 	ssh_userauth_kbdint_getinstruction (ssh_session session)	Get the "instruction" of the message block.
const char * 	ssh_userauth_kbdint_getname (ssh_session session)	Get the "name" of the message block.
int 	ssh_userauth_kbdint_getnanswers (ssh_session session)	Get the number of answers the client has given.
int 	ssh_userauth_kbdint_getnprompts (ssh_session session)	Get the number of prompts (questions) the server has given.
const char * 	ssh_userauth_kbdint_getprompt (ssh_session session, unsigned int i, char *echo)	Get a prompt from a message block.
int 	ssh_userauth_kbdint_setanswer (ssh_session session, unsigned int i, const char *answer)	Set the answer for a question from a message block.
int 	ssh_userauth_list (ssh_session session, const char *username)	Get available authentication methods from the server.
int 	ssh_userauth_none (ssh_session session, const char *username)	Try to authenticate through the "none" method.
int 	ssh_userauth_password (ssh_session session, const char *username, const char *password)	Try to authenticate by password.
int 	ssh_userauth_publickey (ssh_session session, const char *username, const ssh_key privkey)	Authenticate with public/private key or certificate.
int 	ssh_userauth_publickey_auto (ssh_session session, const char *username, const char *passphrase)	Tries to automatically authenticate with public key and "none".
int 	ssh_userauth_try_publickey (ssh_session session, const char *username, const ssh_key pubkey)	Try to authenticate with the given public key.
int 	ssh_buffer_add_data (struct ssh_buffer_struct *buffer, const void *data, uint32_t len)	Add data at the tail of a buffer.
void 	ssh_buffer_free (struct ssh_buffer_struct *buffer)	Deallocate a SSH buffer.
void * 	ssh_buffer_get (struct ssh_buffer_struct *buffer)	Get a pointer to the head of a buffer at the current position.
uint32_t 	ssh_buffer_get_data (struct ssh_buffer_struct *buffer, void *data, uint32_t len)	Get the remaining data out of the buffer and adjust the read pointer.
uint32_t 	ssh_buffer_get_len (struct ssh_buffer_struct *buffer)	Get the length of the buffer from the current position.
struct ssh_buffer_struct * 	ssh_buffer_new (void)	Create a new SSH buffer.
int 	ssh_buffer_reinit (struct ssh_buffer_struct *buffer)	Reinitialize a SSH buffer.
void 	ssh_buffer_set_secure (ssh_buffer buffer)	Sets the buffer as secure.
int 	channel_read_buffer (ssh_channel channel, ssh_buffer buffer, uint32_t count, int is_stderr)	Read data from a channel into a buffer.
ssh_channel 	ssh_channel_accept_forward (ssh_session session, int timeout_ms, int *destination_port)	Accept an incoming TCP/IP forwarding channel and get information about incomming connection.
ssh_channel 	ssh_channel_accept_x11 (ssh_channel channel, int timeout_ms)	Accept an X11 forwarding channel.
int 	ssh_channel_cancel_forward (ssh_session session, const char *address, int port)	Sends the "cancel-tcpip-forward" global request to ask the server to cancel the tcpip-forward request.
int 	ssh_channel_change_pty_size (ssh_channel channel, int cols, int rows)	Change the size of the terminal associated to a channel.
int 	ssh_channel_close (ssh_channel channel)	Close a channel.
void 	ssh_channel_free (ssh_channel channel)	Close and free a channel.
int 	ssh_channel_get_exit_status (ssh_channel channel)	Get the exit status of the channel (error code from the executed instruction).
ssh_session 	ssh_channel_get_session (ssh_channel channel)	Recover the session in which belongs a channel.
int 	ssh_channel_is_closed (ssh_channel channel)	Check if the channel is closed or not.
int 	ssh_channel_is_eof (ssh_channel channel)	Check if remote has sent an EOF.
int 	ssh_channel_is_open (ssh_channel channel)	Check if the channel is open or not.
int 	ssh_channel_listen_forward (ssh_session session, const char *address, int port, int *bound_port)	Sends the "tcpip-forward" global request to ask the server to begin listening for inbound connections.
ssh_channel 	ssh_channel_new (ssh_session session)	Allocate a new channel.
int 	ssh_channel_open_auth_agent (ssh_channel channel)	Open an agent authentication forwarding channel.
int 	ssh_channel_open_forward (ssh_channel channel, const char *remotehost, int remoteport, const char *sourcehost, int localport)	Open a TCP/IP forwarding channel.
int 	ssh_channel_open_reverse_forward (ssh_channel channel, const char *remotehost, int remoteport, const char *sourcehost, int localport)	Open a TCP/IP reverse forwarding channel.
int 	ssh_channel_open_session (ssh_channel channel)	Open a session channel (suited for a shell, not TCP forwarding).
int 	ssh_channel_open_x11 (ssh_channel channel, const char *orig_addr, int orig_port)	Open a X11 channel.
int 	ssh_channel_poll (ssh_channel channel, int is_stderr)	Polls a channel for data to read.
int 	ssh_channel_poll_timeout (ssh_channel channel, int timeout, int is_stderr)	Polls a channel for data to read, waiting for a certain timeout.
int 	ssh_channel_read (ssh_channel channel, void *dest, uint32_t count, int is_stderr)	Reads data from a channel.
int 	ssh_channel_read_nonblocking (ssh_channel channel, void *dest, uint32_t count, int is_stderr)	Do a nonblocking read on the channel.
int 	ssh_channel_read_timeout (ssh_channel channel, void *dest, uint32_t count, int is_stderr, int timeout)	Reads data from a channel.
int 	ssh_channel_request_auth_agent (ssh_channel channel)	Send an "auth-agent-req" channel request over an existing session channel.
int 	ssh_channel_request_env (ssh_channel channel, const char *name, const char *value)	Set environment variables.
int 	ssh_channel_request_exec (ssh_channel channel, const char *cmd)	Run a shell command without an interactive shell.
int 	ssh_channel_request_pty (ssh_channel channel)	Request a PTY.
int 	ssh_channel_request_pty_size (ssh_channel channel, const char *terminal, int col, int row)	Request a pty with a specific type and size.
int 	ssh_channel_request_send_exit_signal (ssh_channel channel, const char *sig, int core, const char *errmsg, const char *lang)	Send an exit signal to remote process (RFC 4254, section 6.10).
int 	ssh_channel_request_send_exit_status (ssh_channel channel, int exit_status)	Send the exit status to the remote process.
int 	ssh_channel_request_send_signal (ssh_channel channel, const char *sig)	Send a signal to remote process (as described in RFC 4254, section 6.9).
int 	ssh_channel_request_shell (ssh_channel channel)	Request a shell.
int 	ssh_channel_request_subsystem (ssh_channel channel, const char *subsys)	Request a subsystem (for example "sftp").
int 	ssh_channel_request_x11 (ssh_channel channel, int single_connection, const char *protocol, const char *cookie, int screen_number)	Sends the "x11-req" channel request over an existing session channel.
int 	ssh_channel_select (ssh_channel *readchans, ssh_channel *writechans, ssh_channel *exceptchans, struct timeval *timeout)	Act like the standard select(2) on channels.
int 	ssh_channel_send_eof (ssh_channel channel)	Send an end of file on the channel.
void 	ssh_channel_set_blocking (ssh_channel channel, int blocking)	Put the channel into blocking or nonblocking mode.
void 	ssh_channel_set_counter (ssh_channel channel, ssh_counter counter)	Set the channel data counter.
uint32_t 	ssh_channel_window_size (ssh_channel channel)	Get the remote window size.
int 	ssh_channel_write (ssh_channel channel, const void *data, uint32_t len)	Blocking write on a channel.
int 	ssh_channel_write_stderr (ssh_channel channel, const void *data, uint32_t len)	Blocking write on a channel stderr.
const char * 	ssh_get_error (void *error)	Retrieve the error text message from the last error.
int 	ssh_get_error_code (void *error)	Retrieve the error code from the last error.
ssh_logging_callback 	ssh_get_log_callback (void)	Get the pointer to the logging callback function.
int 	ssh_get_log_level (void)	Get the log level of the library.
void * 	ssh_get_log_userdata (void)	Get the userdata of the logging function.
